2025-07-23 18:04:59.833 | INFO     | src.sync_manager:initialize:18 - Initializing sync manager...
2025-07-23 18:05:00.632 | ERROR    | src.supabase_client:create_schema:24 - Error creating schema zoho_fsm: {'message': 'Could not find the function public.create_schema_if_not_exists(schema_name) in the schema cache', 'code': 'PGRST202', 'hint': None, 'details': 'Searched for the function public.create_schema_if_not_exists with parameter schema_name or with a single unnamed json/jsonb parameter, but no matches were found in the schema cache.'}
2025-07-23 18:05:00.746 | ERROR    | src.supabase_client:create_schema:24 - Error creating schema zoho_crm: {'message': 'Could not find the function public.create_schema_if_not_exists(schema_name) in the schema cache', 'code': 'PGRST202', 'hint': None, 'details': 'Searched for the function public.create_schema_if_not_exists with parameter schema_name or with a single unnamed json/jsonb parameter, but no matches were found in the schema cache.'}
2025-07-23 18:05:00.851 | ERROR    | src.supabase_client:create_schema:24 - Error creating schema zoho_inventory: {'message': 'Could not find the function public.create_schema_if_not_exists(schema_name) in the schema cache', 'code': 'PGRST202', 'hint': None, 'details': 'Searched for the function public.create_schema_if_not_exists with parameter schema_name or with a single unnamed json/jsonb parameter, but no matches were found in the schema cache.'}
2025-07-23 18:05:00.851 | INFO     | src.sync_manager:initialize:25 - Sync manager initialized successfully
2025-07-23 18:05:49.213 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_fsm.work_orders: {'message': 'Could not find the function public.get_sync_status(p_schema, p_table) in the schema cache', 'code': 'PGRST202', 'hint': None, 'details': 'Searched for the function public.get_sync_status with parameters p_schema, p_table or with a single unnamed json/jsonb parameter, but no matches were found in the schema cache.'}
2025-07-23 18:05:49.434 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_fsm.customers: {'message': 'Could not find the function public.get_sync_status(p_schema, p_table) in the schema cache', 'code': 'PGRST202', 'hint': None, 'details': 'Searched for the function public.get_sync_status with parameters p_schema, p_table or with a single unnamed json/jsonb parameter, but no matches were found in the schema cache.'}
2025-07-23 18:05:49.531 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_fsm.technicians: {'message': 'Could not find the function public.get_sync_status(p_schema, p_table) in the schema cache', 'code': 'PGRST202', 'hint': None, 'details': 'Searched for the function public.get_sync_status with parameters p_schema, p_table or with a single unnamed json/jsonb parameter, but no matches were found in the schema cache.'}
2025-07-23 18:05:49.625 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_fsm.appointments: {'message': 'Could not find the function public.get_sync_status(p_schema, p_table) in the schema cache', 'code': 'PGRST202', 'hint': None, 'details': 'Searched for the function public.get_sync_status with parameters p_schema, p_table or with a single unnamed json/jsonb parameter, but no matches were found in the schema cache.'}
2025-07-23 18:05:49.724 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_crm.work_orders: {'message': 'Could not find the function public.get_sync_status(p_schema, p_table) in the schema cache', 'code': 'PGRST202', 'hint': None, 'details': 'Searched for the function public.get_sync_status with parameters p_schema, p_table or with a single unnamed json/jsonb parameter, but no matches were found in the schema cache.'}
2025-07-23 18:05:49.829 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_crm.customers: {'message': 'Could not find the function public.get_sync_status(p_schema, p_table) in the schema cache', 'code': 'PGRST202', 'hint': None, 'details': 'Searched for the function public.get_sync_status with parameters p_schema, p_table or with a single unnamed json/jsonb parameter, but no matches were found in the schema cache.'}
2025-07-23 18:05:49.932 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_crm.technicians: {'message': 'Could not find the function public.get_sync_status(p_schema, p_table) in the schema cache', 'code': 'PGRST202', 'hint': None, 'details': 'Searched for the function public.get_sync_status with parameters p_schema, p_table or with a single unnamed json/jsonb parameter, but no matches were found in the schema cache.'}
2025-07-23 18:05:50.025 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_crm.appointments: {'message': 'Could not find the function public.get_sync_status(p_schema, p_table) in the schema cache', 'code': 'PGRST202', 'hint': None, 'details': 'Searched for the function public.get_sync_status with parameters p_schema, p_table or with a single unnamed json/jsonb parameter, but no matches were found in the schema cache.'}
2025-07-23 18:05:50.125 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_inventory.work_orders: {'message': 'Could not find the function public.get_sync_status(p_schema, p_table) in the schema cache', 'code': 'PGRST202', 'hint': None, 'details': 'Searched for the function public.get_sync_status with parameters p_schema, p_table or with a single unnamed json/jsonb parameter, but no matches were found in the schema cache.'}
2025-07-23 18:05:50.222 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_inventory.customers: {'message': 'Could not find the function public.get_sync_status(p_schema, p_table) in the schema cache', 'code': 'PGRST202', 'hint': None, 'details': 'Searched for the function public.get_sync_status with parameters p_schema, p_table or with a single unnamed json/jsonb parameter, but no matches were found in the schema cache.'}
2025-07-23 18:05:50.327 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_inventory.technicians: {'message': 'Could not find the function public.get_sync_status(p_schema, p_table) in the schema cache', 'code': 'PGRST202', 'hint': None, 'details': 'Searched for the function public.get_sync_status with parameters p_schema, p_table or with a single unnamed json/jsonb parameter, but no matches were found in the schema cache.'}
2025-07-23 18:05:50.426 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_inventory.appointments: {'message': 'Could not find the function public.get_sync_status(p_schema, p_table) in the schema cache', 'code': 'PGRST202', 'hint': None, 'details': 'Searched for the function public.get_sync_status with parameters p_schema, p_table or with a single unnamed json/jsonb parameter, but no matches were found in the schema cache.'}
2025-07-23 18:05:50.431 | INFO     | src.sync_manager:trigger_manual_sync:254 - Manual sync triggered
2025-07-23 18:05:50.432 | INFO     | src.sync_manager:run_sync_cycle:219 - Starting sync cycle...
2025-07-23 18:05:50.432 | INFO     | src.sync_manager:sync_fsm_data:29 - Starting FSM data sync...
